0	Obviously , we ca n't last longer than the rest of the universe .	last	5	0
1	In which tree they are born , live , fall in love , carve tiny speculative articles in the bark on the meaning of life , the futility of death and the importance of birth control , fight a few extremely minor wars , and eventually die strapped to the underside of some of the less accessible outer branches .	strapped	47	0
2	I wondered how long Ray had been on this ship .	had	5	0
3	After watching my ship tear apart , after spending a good twenty - three hours floating in silence in the wreck , wondering whether I was currently facing stars belonging to the constellation Libra or the constellation Orion when those stars were viewed from Earth , wondering what it felt like to suffocate , and after the feeling that yes , I was in fact going to die alone in space had sunk in , it took time for that feeling to dissipate .	facing	27	0
4	The Hasmonean dynasty , descendants of the Maccabee family , ruled an independent Jewish Commonwealth that stretched from the Negev to the Galilee .	ruled	10	0
5	For the first time , she looked vulnerable .	looked	6	0
6	The Dome of the Rock remains Jerusalems most striking monument ; it is counted among the most beautiful buildings ever created .	remains	5	0
7	But to the thousands of people living there , the loss of the mills was a devastating event that sent shock wavesthrough their economic , political , and social futures .	was	14	0
8	The other end of the rope held a suspended ' cello .	suspended	8	0
9	Sails of obscene orange and a green that insulted springtime hung draped across reds that might have been sensual elsewhere but here were only offensive .	insulted	8	0
10	Black and more black , speckled by tiny points of light that flared up to break the emptiness , if only for a brief time .	speckled	5	0
11	Nevertheless , the incentives to sell at the market price are substantial , and if the threats create new scarcities , higher prices will probably encourage sellers to unload their land .	are	10	0
12	It surprised me at the time that you so easily forgave my false accusations against the Spacers when earlier you had so lectured me on their sensitivity .	forgave	10	0
13	I do n't know much , she said , still annoyed but at least cooperative .	know	3	0
14	Villon imbibes that sound !	imbibes	1	0
15	Luxurious , even compared to the fare one would find in the high - class space stations and pleasure cruisers .	compared	3	0
16	His eyes were white .	were	2	0
17	Well , we 've got the perfect - size group right here .	got	4	0
18	The problem was a national one , involving many more mills and issues than Youngstowns alone .	was	2	0
19	But to the thousands of people living there , the loss of the mills was a devastating event that sent shock wavesthrough their economic , political , and social futures .	living	6	0
20	And listen , when they came round the corner , Ray was with the captain .	was	11	0
21	I was just coming up on a corner and he was around the other side , talking to a couple people , and they must not have known I was there .	was	1	0
22	Still lusted for that jailbreak . '	lusted	1	0
23	The amateur violinist nodded the top half of his body and , supported by the local composer , burst into some scurrying tunelessness or other .	supported	12	0
24	There was a wooden chair , where she sat me down and asked me to wait .	was	1	0
25	The Colonel soothed his wife , pointing out that the new position meant an important change and a big step up in his career , that things would be a bit hard for a while , but their new income would enable them to ensure their child 's future .	ensure	44	0
26	In different phases of the construction of a theory and its verification , involving contrasting intellectual activities , a terminological dichotomy distinguishing the context of discovery and the context of justification may be coined .	coined	33	0
27	I try to rise , but then fall back , paralysed by the cold and the realisation of my own wretched helplessness .	paralysed	10	0
28	And me , I guess I was one more piece in their puzzle .	was	6	0
29	Czechs know best what ails other Czechs .	ails	4	0
30	Had it been a question of its solidity and the skill of its construction it would have lasted a thousand years ; yet it has melted away as if it had been made of wax and now on the place where it was the pigs grunt and the Schwabes ' trumpet sounds . '	melted	25	0
31	Even when the conversation returned to lighter tones , as it soon did , I dwelt on Adrienne 's questions .	dwelt	15	0
32	Petitions , protests , rallies , collectivization , and even the takeover of a steel companys headquarters were all attempted in a desperate movement by those in the industry to preserve the only source of employment that this town had .	had	39	0
33	Right now , he looked like an overgrown wolf who 'd learned touch - typing .	looked	4	0
34	The police would n't file a report for someone whod been missing overnight .	file	4	1
35	If it was March , that meant that wed been together almost a year and a half .	meant	6	0
36	There was a schedule advertising upcoming on - ship events , such as dance classes , craft sessions , and discussion groups , and a list of dinner invitations for me to respond to .	upcoming	5	0
37	The image was now centered upon the main door to Dr .	centered	4	0
38	As she rose , her robes fell open and I realized that , except for what looked like a red silk kimono , she was naked – naked and stunning .	was	24	0
39	I 've been having headaches .	having	3	0
40	Maybe we had all tired of the frivolity of our life , hitting some threshold or some breaking point .	had	2	0
41	She led us past the silks and through an arch decorated with pictures of wooden ships and what looked like African tribesmen .	decorated	10	0
42	This is a faulty generalization .	is	1	0
43	It was all so fast .	was	1	0
44	You forgot !	forgot	1	0
45	It bugs you like hell , but you ca n't get it out .	bugs	1	0
46	…But , sir , this is an unusual situation .	is	5	0
47	They screamed and bawled and hollered till Zaphod thought his ears would shatter .	thought	8	0
48	My friend and I were just contemplating the meaning of life . '	contemplating	6	0
49	Here they had discarded their oxygen gear , and revelled in the strange luxury of being able to breathe without mechanical aids .	revelled	9	0
50	It was a lie , but we needed information .	was	1	0
51	Nepthys shook his hands at me like he wanted to wrap them around my neck .	wanted	8	0
52	Taste , hearing and touch became a single blur , and I do not know if my eyes were open .	know	14	0
53	6 ) Animated history of the US .	Animated	2	0
54	I have to warn you , though , you wont like what I have to tell you .	have	1	0
55	Youngstown is thename of the major city area , but surrounding it on all sides are small communities which to the casual viewer areindistinguishable from the main city itself .	are	15	0
56	The beys and ayans rose and took their leave silently , glad to be alive and as perplexed as though they had witnessed a conjurer s performance .	perplexed	17	0
57	Maybe that made us more real .	made	2	0
58	For the people of Youngstown , Black Monday was not just a historical event - it was the most important event in their lives .	was	8	0
59	You think that , he said , but is it true ?	think	1	0
60	No one minded ; Sarah 's inner circle was content to fill our circle of couches with plenty of chatter .	minded	2	0
61	It must have been larger than my finger .	been	3	0
62	Americans were gloating over this demented corpse show : They squealed like little piggies too , so you 'll have to make do with 'oink , oink , squeeeeeeeallll ' for their last words .	gloating	2	0
63	As it continued to gyrate , the circumference of the circle expanded , first horizontally , then vertically , until it equaled the span of the broken stone pews .	equaled	21	0
64	You believe the other medicine may have just as much value , but in other situations , not this one .	believe	1	0
