1561	All children were to be begotten by artificial insemination ( artsem , it was called in Newspeak ) and brought up in public institutions .	begotten	5	0
1547	It takes thirty seconds to download a programme from the Net that can crack Word 's encryption protection . "	download	5	0
1119	”Luckily M . , unlike Gumilev , felt no need of disciples and could not stomach imitators .	stomach	15	1
3891	Hes sitting right there at the bar !”Dvorov tried to peek through the crowd , but it had shifted again and we could n't see a thing .	shifted	18	0
4171	Now that something had happened which really deserved a face , he 'd none to celebrate it with .	celebrate	15	0
2344	Most importantly , Youngstowns steel mills were slowly becoming less efficient and more expensive .	becoming	8	1
2700	And representation itself was to be paralleled , limited , circumscribed , mocked perhaps , but in any case regulated from the outside , by the enormous thrust of a freedom , a desire , or a will , posited as the metaphysical converse of consciousness . "	circumscribed	10	0
2159	It would have been fair for Moore to point out this possible misinterpretation on his website .	point	8	0
4480	Radisav bent his head still lower and the gipsies came up and began to strip off his cloak and his shirt .	strip	14	0
3428	Nepthys took us immediately to the right , where he led us to a cart filled with herbs .	led	10	0
3441	We entered .	entered	1	0
487	I want to influence people so they 'll do what I think it 's important they should do .	influence	3	0
1449	For a bird or mammal to deceive or bluff with sound , it has to generate that sound in a manner that wo n't reveal its true emotional state .	bluff	8	1
4154	People exchange because they have needs , and they exchange precisely the objects that they need ; but the order of exchanges , their hierarchy and the differences expressed in that hierarchy , are established by the units of labour that have been invested in the objects in question .	invested	43	0
646	He had devised a way of utilising waste materials , especially soot , for the removal of the Arctic and Antarctic ice caps .	utilising	6	1
4266	It was here that he wrote what was to become the final book of the New Testament , the Book of Revelation .	wrote	5	0
2921	May the Almighty illumine his tomb ' .	illumine	3	0
778	, police nabbed Oliver O Shaughnessy , 52 , of the Hotel Seabord , W .	nabbed	2	0
4391	After several fruitless attempts to bite , he starts to take the situation seriously and blows himself up ;Without greeting and without a smile , he would moodily ferry across goods and passengers in his own good time , but honestly and safely , so that tales were told of his reliability and his honesty as often as of his slowness and obstinacy .	bite	5	0
1844	I 'll figure it out , then I 'm going to find a way home .” I paced my room that night , unable to sleep .	paced	17	1
2797	He felt a heavy weariness , but also a great relief that it was all done and despatched to the appropriate people , decisively and irreversibly , and that there could no longer be any doubt or reflection about it .	despatched	17	0
1799	All we 're doing is eating and drinking and shitting , breathing and fucking and nothing important , ever .	doing	3	1
2741	Jitka likes impersonating him .	impersonating	2	1
3247	Walking didnt build up much heat ; it just moved the air enough to chill me more .	build	2	0
3245	I pulled my T-shirts sleeves down my arms as far as theyd go , but I wasnt ready for cold .	pulled	1	0
3459	Nepthys turned back to the little man on the bed , who had not moved .	turned	1	0
