956	6 ) Animated history of the US .	Animated	2	0
1679	Do you mind if we check it out anyway ?	mind	2	0
1732	My mind began to dissipate , but then I felt the pain withdraw and a lifeless voice said , This ones blood isnt worth drinking .” Hands closed on my neck and I felt my spine crack .	isnt	22	0
1037	It is not only the highest grossing non-music documentary of all time , among the users of the largest Internet film database , IMDB , it is also the highest rated one .	is	1	0
1148	Ralph , having begun the business of unburdening himself , continued .	unburdening	7	1
1432	He gave me a half-hearted wave that made me wonder what exactly we were chasing , and whether I should be wearing body armor .	wearing	21	0
25	The beys and ayans rose and took their leave silently , glad to be alive and as perplexed as though they had witnessed a conjurer s performance .	perplexed	17	0
562	Luxurious , even compared to the fare one would find in the high-class space stations and pleasure cruisers .	compared	3	0
1132	Its residents are mainly Italian and RomanCatholic , with a small concentration of Methodists on the east side .	are	2	0
305	The event - if it can be called such - has been described , with negligible variations and modifications , by many authors , and I shall keep to the version provided by Chaim Frankel - the advantage of his narrative residing in the fact that it recapitulates the views of other disciples who have written about the Master .	recapitulates	47	0
185	Ningis are not negotiable currency because the Galactibanks refuse to deal in fiddling small change .	refuse	8	0
1801	Unfortunately , their zeal was not matched by their discrimination .	matched	6	0
1572	I mean , we might have a lot of work ahead of us .”Are you kidding ?	have	5	0
527	She gave me a look , pitying and a little pleased that she got to be the one to share the news .	got	13	0
1606	Youre just lucky that Dvorov isnt my only contact .	just	1	0
1558	Here , theyre the snotty rich who show up in clubs because they like the ‘gritty ambience – you have them in your world , too , right ?	have	19	0
1009	If Moore simply chose not to show how he revealed his identification to the salesperson , there is nothing fraudulent about that .	is	17	0
248	Stay tuned for a more in-depth post on the topic .	tuned	1	0
1868	So what he had experienced in the other car , her brother 's car , the night he had returned exhausted and bewildered from his nightmare years in the stars had not been the unbalance of the moment , or , if it had been , he was at least twice as unbalanced now , and quite liable to fall off whatever it is that well-balanced people are supposed to be balancing on . "	balancing	71	0
1586	Do you know what this thing does ?” I shouted , hardly able to hear myself .	know	2	0
884	It tells viewers : Aha , this is the person we are talking about .	is	7	0
629	Relatively says it all .” Zheng scoffed .	says	1	0
822	Dear David Hardy , It is fascinating to watch the organized character assassination of Michael Moore that has been going on in the United States since the release of his last documentary .	going	19	0
56	At the same time the other one also took an involuntary step back as though he were invisibly tied to the first .	tied	18	0
1171	Mahogany-black curly hair , cut short in the typical military style framed a careworn , dark-skinned face .	framed	11	0
1457	Lets go .”As we headed down the sidewalk , I said , What is your name , anyway ?”Thats a question you learn not to ask here .	is	13	0
1389	Their bumpers looked ready to drop off , and their paint was half smog .	looked	2	0
365	There was a lot of trouble with space pirates before they were wiped out in the Dordellis wars , and the megafreighters had to be equipped with the most fantastic defence shields known to Galactic science .	equipped	25	0
459	No sooner had I got there that my former self , the one that operated on my brain , popped into my head and said ‘ Go see Zarniwoop .	operated	14	0
1214	It is in this way that language , properly speaking , is constituted , by a series of analogies that are a lateral extension of the language of action or at least of its vocal element : language resembles this vocal element , and ' it is this resemblance that facilitates the understanding of it .	facilitates	50	0
798	Maybe that made us more real .	made	2	0
1260	It refers not to the end of the world , but rather the end of our current age - Pisces , which began at the time of Christ 's birth , spanned two thousand years , and waned with the passing of the millennium .	spanned	31	0
